id;start_date;end_date;language
1;2020-01-07T08:14:11;2020-01-07T06:04:26;SPANISH
2;2020-01-06T13:04:22;2020-01-07T08:08:47;SPANISH
3;2020-01-07T03:59:41;2020-01-06T14:33:50;FRENCH
4;2020-01-06T19:17:12;2020-01-07T06:48:38;FRENCH
5;2020-01-07T04:47:30;2020-01-07T09:34:29;FRENCH
6;2020-01-06T22:39:51;2020-01-07T10:48:05;FRENCH
7;2020-01-07T00:25:11;2020-01-06T18:16:02;FRENCH
8;2020-01-06T23:21:24;2020-01-07T09:37:32;SPANISH
9;2020-01-06T22:02:33;2020-01-06T18:43:56;SPANISH
10;2020-01-07T06:14:37;2020-01-06T16:49:07;SPANISH
